,视频名字,UP主,视频链接,发布时间,关注数,硬币数,播放量,弹幕数,收藏数,点赞数,评论数,分享数
32,德国室友: 不公平!!凭什么你买的泡面有大块的牛肉!!!,黄姐夫在德国,https://www.bilibili.com/video/BV1j8411J7SJ,2022-12-27 17:20:00,741292,7174,937215,2762,9398,133733,1007,657
33,把战斧牛排做成孜然牛肉粒，能好吃不？【小傲想吃饭4#】,小傲想睡觉,https://www.bilibili.com/video/BV12e411c7Cb,2022-12-26 12:00:00,2196817,24586,1571437,3041,18092,225391,2598,1233
34,一天一顿小烧烤，上下通气精神好,阿哈哈哈哈哈黑猫警长,https://www.bilibili.com/video/BV1x24y1m7o4,2022-12-26 22:00:19,1133379,6900,1363274,3852,5679,133994,1070,4016
35,摩拉特工2,火系背后的爹,https://www.bilibili.com/video/BV15K411i7GF,2022-12-26 14:56:57,44345,20897,749500,1474,21600,86640,495,11371
36,中国濒临失传戏法巧接连环（下）古彩戏法鹏鹏戏法艺术韩派戏法大活宝陈进才陈氏戏法,鵬鵬魔术,https://www.bilibili.com/video/BV1w3411X7RQ,2022-12-26 20:35:11,24768,52161,743794,753,11521,165678,669,743
37,小孩指出博物馆“21th”的错误，竟被群嘲…,侃哥侃英语,https://www.bilibili.com/video/BV19A411X7yE,2022-12-25 16:51:22,1106258,13189,2165243,4824,15908,222491,6085,2673
38,6体人：3,金渐层烤猪,https://www.bilibili.com/video/BV1FM41127b4,2022-12-26 13:16:42,284079,19469,1146497,3230,18888,87463,2237,14812
39,精准预测春晚小品,铁柱大导演,https://www.bilibili.com/video/BV1Av4y167TF,2022-12-28 18:32:02,208825,27338,1654347,2960,11816,121246,3590,35995
40,老人熬夜直播到手仅百元？up主实锤幕后团队造假！【下集】,康哟喂,https://www.bilibili.com/video/BV1gV4y1w75P,2022-12-25 20:31:12,733808,103301,1595607,5836,24570,147978,4069,8203
41,没有食欲，该做什么吃？,阿林吃土,https://www.bilibili.com/video/BV1E14y1w7VR,2022-12-26 17:00:00,1287241,9345,894764,697,40864,42751,1037,3856
42,碧萝最后这一下有做体操运动员的潜力吗？,z做我的猫i,https://www.bilibili.com/video/BV1NA411Q7H8,2022-12-26 16:04:26,418437,1616,1851515,438,8916,123403,345,2056
43,【日本办公室料理】今天就用面包来堵住社长的喂喂喂！,長野社長,https://www.bilibili.com/video/BV1i24y1U7q8,2022-12-24 20:30:00,542484,2606,4019668,644,22559,321903,516,1333
44,小学生迷惑行为大赏，我实在是看傻了。。。,棉白有点笨,https://www.bilibili.com/video/BV1YM411m7yu,2022-12-25 18:15:00,662011,4529,2155635,4129,62161,38153,388,451
45,带小土狗去看病，它委屈的快哭了,土狗肉松,https://www.bilibili.com/video/BV1Zv4y1z77i,2022-12-28 10:00:00,52134,63223,961621,1240,6780,75261,1248,4035
46,体验盲人的一天，无法想象这是他们的一辈子,J神呢,https://www.bilibili.com/video/BV1fW4y1T7EX,2022-12-20 21:11:11,146125,74894,1820827,1895,39268,347736,1914,4199
47,这能怪我？,CSGO大茄子,https://www.bilibili.com/video/BV1e8411J7tx,2022-12-26 18:45:06,3120238,6218,1415794,409,12109,196461,616,5861
48,这大妹子，一眼万年,爱画画的子衿,https://www.bilibili.com/video/BV1cG4y1E7hu,2022-12-26 19:56:48,1186092,6595,1631784,1465,17889,114779,1748,6300
49,布偶猫坠楼，落20m深换气孔洞7天，主人都快急疯了～,和猫住,https://www.bilibili.com/video/BV1m84y1s744,2022-12-23 18:18:51,2258297,167260,3593211,3761,34339,487548,2768,3912
50,同桌：我是家里最不会读书的…,阿沛不开心,https://www.bilibili.com/video/BV1ZY411m7H5,2022-12-27 17:29:21,539207,2354,1324583,1349,5031,169528,1291,748
51,“有趣快乐的事分享对了人就是双倍快乐”,Liv_艺术收藏家,https://www.bilibili.com/video/BV1Hv4y1X7zz,2022-12-22 22:01:38,59962,12431,2941351,1062,61229,316040,1932,20823
52,地狱门：你清高 你了不起,三硝基汤姆猫,https://www.bilibili.com/video/BV1v24y1S7BV,2022-12-25 15:18:51,105048,15197,845940,1778,19645,127979,1000,4770
53,【阳了个阳 】2023年春晚小品惨遭泄出,胡基森,https://www.bilibili.com/video/BV1Ne4y157pe,2022-12-26 20:25:35,414549,10482,1790352,2659,7875,79666,3238,13818
54,我很像乞丐吗？,项真爽,https://www.bilibili.com/video/BV1MG4y1n7x9,2022-12-26 19:00:00,1652879,3993,1117051,1476,7111,149694,564,1931
55,豆瓣9.1分：杀人犯绑架孩子，却治愈了孩子一生，结尾简直要命,长片短解,https://www.bilibili.com/video/BV1Me411w7hu,2022-12-25 21:01:10,44665,3199,3414587,381,28498,18492,312,354
56,看完《县委大院》的后遗症,我附着,https://www.bilibili.com/video/BV1mR4y1S7M8,2022-12-25 19:04:07,4978,15265,1579812,2306,12077,98005,1792,16820
57,【原神手书】世界上另一个我,愚人戏社,https://www.bilibili.com/video/BV15R4y1D7t8,2022-12-28 19:00:00,324422,30895,341149,586,32805,60546,1133,5692
58,《明日方舟》×高德地图 阿米娅导航语音合作宣传PV,明日方舟,https://www.bilibili.com/video/BV1tW4y1K7rM,2022-12-28 10:00:00,5101551,13241,1084997,2836,11779,127417,6747,33817
59,演绎之星系列【稀世时装】红蝶-竹华专属曲目——《In Between The Scenes》MV公开！,网易第五人格手游,https://www.bilibili.com/video/BV1B14y1w7vr,2022-12-27 11:15:00,2086792,28201,458492,1593,19502,57544,2822,18037
60,"极狐游戏加速器-永久免费的加速器,全新UI,高性能服务器,永久免费,不玩套路",极狐游戏加速器,https://www.bilibili.com/video/BV1EW4y1K7K7,2022-12-28 10:00:00,31352,29829,929586,171,55969,52618,4473,22648
61,硬核狠人骑行东北，找不到废弃房直接睡在雪地上,徐云流浪中国,https://www.bilibili.com/video/BV1se4y1576N,2022-12-28 21:48:18,1276719,48498,756253,15044,4911,65761,3709,1880
62,没想到这些也不是全国统一的！,粤知一二,https://www.bilibili.com/video/BV1sV4y1F7wj,2022-12-28 18:00:00,3034881,1813,1104468,3563,4873,121906,1893,1119
63,"KAI, SEULGI, JENO, KARINA《Hot & Cold (温差)》Stage Video",SMTOWN,https://www.bilibili.com/video/BV1224y1S7jV,2022-12-26 17:00:00,362809,20253,577019,9597,18348,50590,4424,14794
64,羊村（5）,小潮院长,https://www.bilibili.com/video/BV11P4y1i7KU,2022-12-24 10:00:00,9291400,504451,5872844,96402,177003,697611,13769,17535
65,如何用火柴开锁,发明家101,https://www.bilibili.com/video/BV1kg411t7tB,2022-12-24 18:00:00,220979,35787,3351692,2916,115481,154061,3098,16414
66,《不熄的光》——火影忍者手游七周年重燃主题曲,火影忍者手游情报君,https://www.bilibili.com/video/BV1DD4y1L73Y,2022-12-28 10:00:00,990498,17214,1168644,2658,9814,60691,4198,14220
67,邻居疯了！你好邻居2 正式版 #1,鲤鱼Ace,https://www.bilibili.com/video/BV1AD4y1j7xS,2022-12-27 20:16:15,3379628,11883,1063359,17456,19177,43144,1862,618
68,倡议：请您多一份理解和耐心！,中国警察网,https://www.bilibili.com/video/BV18v4y1z71U,2022-12-25 19:17:57,694860,10720,1087692,1151,6516,219550,780,722
69,我们从一个寒冷的地方搬到了另一个寒冷的地方...,摸鱼事务所,https://www.bilibili.com/video/BV14e4y1j775,2022-12-28 19:15:38,1430863,46191,479407,4444,11380,66063,1666,1002
70,电子烟，一把瞄准学生的狙击步枪,给我一个镜头V,https://www.bilibili.com/video/BV1q3411Q7T1,2022-12-24 14:10:45,840385,59883,2470467,11240,23865,141091,5898,12892
